日期,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價,價平買權近週報酬,價平賣權近週報酬,價平買權近週報酬(金額),價平賣權近週報酬(金額),訊號,策略損益(金額)
2021/1/4,,306,,7.4,136,-43.6,6800,-2180,1,6800
2021/1/5,,411,,1.5,105,-5.9,5250,-295,1,5250
2021/1/6,171,335,136,0.2,-76,-1.3,-3800,-65,1,-3800
2021/1/7,,377,,32,203,-107,10150,-5350,1,10150
2021/1/8,,580,,16.5,203,-15.5,10150,-775,1,10150
2021/1/11,,660,,4.5,80,-12,4000,-600,1,4000
2021/1/12,,615,,2.2,-45,-2.3,-2250,-115,1,-2250
2021/1/13,180,860,168,0.1,245,-2.1,12250,-105,1,12250
2021/1/14,,146,,168,-37,-3,-1850,-150,1,-1850
2021/1/15,,88,,203,-58,35,-2900,1750,1,-2900
2021/1/18,,43,,186,-45,-17,-2250,-850,1,-2250
2021/1/19,,167,,26,124,-160,6200,-8000,1,6200
2021/1/20,226,16,143,0.1,-151,-25.9,-7550,-1295,1,-7550
2021/1/21,,498,,40.5,269,-105.5,13450,-5275,1,13450
2021/1/22,,354,,40,-144,-0.5,-7200,-25,1,-7200
2021/1/25,,287,,32,-67,-8,-3350,-400,1,-3350
2021/1/26,,70,,88,-217,56,-10850,2800,1,-10850
2021/1/27,194,49,153,0.1,-21,-87.9,-1050,-4395,1,-1050
2021/1/28,,67,,299,-130,143,-6500,7150,1,-6500
2021/1/29,,8.4,,550,-58.6,251,-2930,12550,1,-2930
2021/2/1,,16.5,,272,8.1,-278,405,-13900,1,405
2021/2/2,,144,,35,127.5,-237,6375,-11850,1,6375
2021/2/3,239,117,216,0.1,-27,-34.9,-1350,-1745,1,-1350
2021/2/4,,163,,217,-79,-2,-3950,-100,1,-3950
2021/2/5,,195,,143,32,-74,1600,-3700,1,1600
2021/2/17,222,580,134,0.3,385,-142.7,19250,-7135,1,19250
2021/2/18,,223,,101,-2,-36,-100,-1800,1,-100
2021/2/19,,166,,107,-57,6,-2850,300,1,-2850
2021/2/22,,190,,59,24,-48,1200,-2400,1,1200
2021/2/23,,211,,19.5,21,-39.5,1050,-1975,1,1050
2021/2/24,227,0.1,147,64,-210.9,44.5,-10545,2225,1,-10545
2021/2/25,,340,,52,110,-98,5500,-4900,1,5500
2021/2/26,,88,,244,-252,192,-12600,9600,1,-12600
2021/3/2,,16.5,,221,-71.5,-23,-3575,-1150,1,-3575
2021/3/3,220,33,162,0.1,16.5,-220.9,825,-11045,1,825
2021/3/4,,89,,280,-134,115,-6700,5750,1,-6700
2021/3/5,,48.5,,314,-40.5,34,-2025,1700,1,-2025
2021/3/8,,17,,321,-31.5,7,-1575,350,1,-1575
2021/3/9,,5.3,,299,-11.7,-22,-585,-1100,1,-585
2021/3/10,201,0.1,174,273,-5.2,-26,-260,-1300,1,-260
2021/3/11,,373,,55,169,-122,8450,-6100,1,8450
2021/3/12,,397,,21,24,-34,1200,-1700,1,1200
