交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,漲跌價,漲跌%
2024/1/2,TXO,202401W1,19000,賣權,-,-,-,-,0,1170,0,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,19000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,19100,買權,-,-,-,-,0,0.2,0,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,19100,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,19100,賣權,-,-,-,-,0,1270,0,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,19100,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,19200,買權,-,-,-,-,0,0.2,0,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,19200,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,19200,賣權,-,-,-,-,0,1370,0,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,19200,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,19300,買權,-,-,-,-,0,0.2,0,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,19300,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,19300,賣權,-,-,-,-,0,1470,0,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,19300,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,19400,買權,0.2,0.4,0.2,0.4,4,0.2,163,-,0.2,151,0.1,,一般,0.3,-
2024/1/2,TXO,202401W1,19400,買權,0.3,59,0.1,59,31,-,-,0.1,10,151,0.1,,盤後,58.9,-
2024/1/2,TXO,202401W1,19400,賣權,-,-,-,-,0,1570,0,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,19400,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,19500,買權,-,-,-,-,0,0.2,0,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,19500,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,19500,賣權,-,-,-,-,0,1670,0,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,19500,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,19600,買權,-,-,-,-,0,0.1,0,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,19600,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,19600,賣權,-,-,-,-,0,1770,0,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,19600,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,19700,買權,-,-,-,-,0,0.1,3,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,19700,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,19700,賣權,-,-,-,-,0,1870,0,-,-,-,-,,一般,-,-
